Num_Ord;Type_Contrat;Type_Filiere;Type_Secteur;Type_Personnel;Corps_Filiere;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
1;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Adjoints de l'Education;Adjoint de l’'Education;7;348;398;473;548
2;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Adjoints de l'Education;Adjoint principal de l’'Education;8;379;429;504;579
3;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur de l’'Education;10;453;503;578;653
4;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur principal de l’'Education;11;498;548;623;698
5;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur de l’Education en chef;12;537;587;662;737
6;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur general de l’Education;13;578;628;703;778
7;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur specialise en soutien Educatif;10;453;503;578;653
8;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur specialise principal en soutien Educatif;11;498;548;623;698
9;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur specialise en chef en soutien Educatif;12;537;587;662;737
10;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur specialise general en soutien Educatif;13;578;628;703;778
11;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Conseillers de l'Education;Conseiller de l’'Education;13;578;628;703;778
12;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Conseillers de l'Education;Conseiller principal de l’'Education;13;578;628;703;778
13;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Conseillers de l'Education;Conseiller de l’'Education en chef;14;621;671;746;821
14;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Censeurs de lycée;Censeur de lycee;14;621;671;746;821
15;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Censeurs;Censeur de l’enseignement primaire;14;621;671;746;821
16;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Censeurs;Censeur de l’enseignement moyen;15;666;716;791;866
17;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Education;Corps des Censeurs;Censeur de l’enseignement secondaire;16;713;763;838;913
